user_id,date,time,rmssd,coverage,hf,lf
smcfb.02.003,2024-03-12,01:15:00.000,21.562,0.954,159.677,702.239
smcfb.02.003,2024-03-12,01:20:00.000,23.142,0.955,104.567,335.945
smcfb.02.003,2024-03-12,01:25:00.000,21.341,1.006,72.261,140.791
smcfb.02.003,2024-03-12,01:30:00.000,24.795,0.997,107.093,134.568
smcfb.02.003,2024-03-12,01:35:00.000,23.207,0.969,78.152,135.026
smcfb.02.003,2024-03-12,01:40:00.000,44.49,0.978,273.743,106.749
smcfb.02.003,2024-03-12,01:45:00.000,28.31,0.712,122.848,254.11
smcfb.02.003,2024-03-12,01:50:00.000,21.182,0.743,50.919,22.938
smcfb.02.003,2024-03-15,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-16,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-17,21:15:00.000,22.963,0.847,287.84,391.672
smcfb.02.003,2024-03-17,21:20:00.000,35.87,0.736,196.15,3710.432
smcfb.02.003,2024-03-17,21:25:00.000,23.355,0.869,87.142,60.792
smcfb.02.003,2024-03-17,21:30:00.000,23.985,0.985,89.478,53.434
smcfb.02.003,2024-03-17,21:35:00.000,23.876,1.006,200.697,242.873
smcfb.02.003,2024-03-17,21:40:00.000,27.643,0.919,130.234,686.663
smcfb.02.003,2024-03-17,21:45:00.000,28.251,0.984,158.0,68.762
smcfb.02.003,2024-03-17,21:50:00.000,29.641,0.987,451.503,721.417
smcfb.02.003,2024-03-17,21:55:00.000,29.093,0.998,196.121,34.108
smcfb.02.003,2024-03-17,22:00:00.000,30.994,0.992,228.731,88.863
smcfb.02.003,2024-03-17,22:05:00.000,28.098,0.989,169.899,145.949
smcfb.02.003,2024-03-17,22:10:00.000,25.488,0.992,128.084,124.242
smcfb.02.003,2024-03-17,22:15:00.000,21.59,0.982,103.973,249.094
smcfb.02.003,2024-03-17,22:20:00.000,22.122,0.903,90.015,203.185
smcfb.02.003,2024-03-17,22:25:00.000,20.401,0.987,63.937,367.899
smcfb.02.003,2024-03-17,22:30:00.000,19.44,0.91,131.368,1628.633
smcfb.02.003,2024-03-17,22:35:00.000,14.81,0.999,40.592,130.768
smcfb.02.003,2024-03-17,22:40:00.000,19.091,0.908,117.665,1896.067
smcfb.02.003,2024-03-17,22:45:00.000,25.823,0.925,136.225,286.881
smcfb.02.003,2024-03-17,22:50:00.000,29.908,1.003,213.738,164.6
smcfb.02.003,2024-03-17,22:55:00.000,33.747,0.984,268.457,193.439
smcfb.02.003,2024-03-17,23:00:00.000,31.715,0.953,163.076,256.871
smcfb.02.003,2024-03-17,23:05:00.000,27.997,0.994,103.905,637.578
smcfb.02.003,2024-03-02,22:30:00.000,71.447,0.825,333.543,175.549
smcfb.02.003,2024-03-02,22:35:00.000,25.642,0.762,81.342,102.131
smcfb.02.003,2024-03-02,22:40:00.000,24.517,0.946,318.092,3455.033
smcfb.02.003,2024-03-02,22:45:00.000,23.644,0.98,93.972,93.215
smcfb.02.003,2024-03-02,22:50:00.000,21.998,0.855,39.936,106.309
smcfb.02.003,2024-03-02,22:55:00.000,33.351,0.792,140.548,477.764
smcfb.02.003,2024-03-02,23:00:00.000,85.327,0.705,766.484,1498.809
smcfb.02.003,2024-03-02,23:05:00.000,104.076,0.717,3324.153,5809.048
smcfb.02.003,2024-03-02,23:10:00.000,100.337,0.783,1104.125,1386.18
smcfb.02.003,2024-03-02,23:15:00.000,31.123,0.845,118.252,207.654
smcfb.02.003,2024-03-02,23:20:00.000,33.55,0.996,242.434,411.786
smcfb.02.003,2024-03-02,23:25:00.000,34.25,1.005,145.172,213.869
smcfb.02.003,2024-03-02,23:30:00.000,31.347,0.997,140.38,172.141
smcfb.02.003,2024-03-02,23:35:00.000,35.223,1.005,171.672,189.295
smcfb.02.003,2024-03-02,23:40:00.000,36.518,1.003,199.754,201.506
smcfb.02.003,2024-03-02,23:45:00.000,37.076,0.992,169.916,297.948
smcfb.02.003,2024-03-02,23:50:00.000,38.756,0.995,222.308,121.016
smcfb.02.003,2024-03-02,23:55:00.000,36.184,0.975,170.368,123.859
smcfb.02.003,2024-03-10,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-11,21:50:00.000,22.131,0.818,52.672,49.117
smcfb.02.003,2024-03-11,21:55:00.000,21.747,0.901,70.522,98.28
smcfb.02.003,2024-03-11,22:00:00.000,18.699,0.926,52.613,35.312
smcfb.02.003,2024-03-11,22:05:00.000,19.447,0.928,52.851,29.29
smcfb.02.003,2024-03-11,22:10:00.000,15.629,0.999,52.934,34.966
smcfb.02.003,2024-03-11,22:15:00.000,16.242,1.003,54.422,30.628
smcfb.02.003,2024-03-11,22:20:00.000,15.284,1.003,34.464,81.363
smcfb.02.003,2024-03-11,22:25:00.000,16.086,1.004,63.336,34.391
smcfb.02.003,2024-03-11,22:30:00.000,13.599,0.996,26.458,158.501
smcfb.02.003,2024-03-11,22:35:00.000,13.086,0.997,21.005,203.912
smcfb.02.003,2024-03-11,22:40:00.000,23.13,0.96,126.129,190.131
smcfb.02.003,2024-03-11,22:45:00.000,25.053,0.982,115.262,158.509
smcfb.02.003,2024-03-11,22:50:00.000,25.369,1.004,113.104,215.77
smcfb.02.003,2024-03-11,22:55:00.000,29.508,0.967,187.64,297.086
smcfb.02.003,2024-03-11,23:00:00.000,36.037,0.993,1264.881,3623.152
smcfb.02.003,2024-03-11,23:05:00.000,25.858,0.982,655.913,2941.881
smcfb.02.003,2024-03-11,23:10:00.000,22.948,0.99,99.807,214.26
smcfb.02.003,2024-03-11,23:15:00.000,24.529,0.997,95.786,193.849
smcfb.02.003,2024-03-11,23:20:00.000,23.044,0.987,92.205,354.195
smcfb.02.003,2024-03-11,23:25:00.000,21.537,0.99,655.083,1524.142
smcfb.02.003,2024-03-11,23:30:00.000,20.758,0.99,71.82,349.061
smcfb.02.003,2024-03-11,23:35:00.000,20.648,0.966,79.958,218.247
smcfb.02.003,2024-03-11,23:40:00.000,24.644,1.004,88.7,386.214
smcfb.02.003,2024-03-18,00:00:00.000,32.734,0.815,161.936,371.69
smcfb.02.003,2024-03-18,00:05:00.000,23.692,0.902,68.663,452.478
smcfb.02.003,2024-03-18,00:10:00.000,24.909,0.938,98.591,276.318
smcfb.02.003,2024-03-18,00:15:00.000,28.454,0.974,143.67,592.245
smcfb.02.003,2024-03-18,00:20:00.000,24.046,0.974,72.754,369.614
smcfb.02.003,2024-03-18,00:25:00.000,20.819,0.992,65.186,187.823
smcfb.02.003,2024-03-18,00:30:00.000,15.662,0.972,22.465,34.091
smcfb.02.003,2024-03-18,00:35:00.000,17.625,1.003,42.057,172.197
smcfb.02.003,2024-03-18,00:40:00.000,20.829,0.907,30.601,110.658
smcfb.02.003,2024-03-18,00:45:00.000,27.9,0.922,112.21,122.967
smcfb.02.003,2024-03-18,00:50:00.000,31.33,0.988,132.805,161.853
smcfb.02.003,2024-03-18,00:55:00.000,51.76,0.99,337.794,163.955
smcfb.02.003,2024-03-18,01:00:00.000,51.366,0.998,357.283,136.094
smcfb.02.003,2024-03-18,01:05:00.000,35.725,1.002,227.763,241.562
smcfb.02.003,2024-03-18,01:10:00.000,30.747,0.982,129.097,149.124
smcfb.02.003,2024-03-18,01:15:00.000,25.46,0.996,118.914,100.608
smcfb.02.003,2024-03-18,01:20:00.000,28.505,0.99,137.687,91.715
smcfb.02.003,2024-03-18,01:25:00.000,30.604,1.002,146.064,184.246
smcfb.02.003,2024-03-18,01:30:00.000,31.426,0.98,885.586,2542.811
smcfb.02.003,2024-03-18,01:35:00.000,38.945,0.962,214.396,187.961
smcfb.02.003,2024-03-18,01:40:00.000,18.886,0.998,69.206,47.976
smcfb.02.003,2024-03-18,01:45:00.000,17.278,0.991,43.817,58.474
smcfb.02.003,2024-03-18,01:50:00.000,19.585,1.003,71.918,37.923
smcfb.02.003,2024-03-19,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-20,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-21,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-22,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-23,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-13,00:00:00.000,22.79,1.002,82.805,217.31
smcfb.02.003,2024-03-13,00:05:00.000,23.726,1.0,77.996,186.95
smcfb.02.003,2024-03-13,00:10:00.000,33.091,0.991,206.938,277.496
smcfb.02.003,2024-03-13,00:15:00.000,20.624,0.868,40.059,373.947
smcfb.02.003,2024-03-13,00:20:00.000,31.08,1.0,135.464,106.638
smcfb.02.003,2024-03-13,00:25:00.000,60.937,0.985,1501.991,6001.05
smcfb.02.003,2024-03-13,00:30:00.000,22.607,1.005,77.767,164.667
smcfb.02.003,2024-03-13,00:35:00.000,24.466,0.951,89.935,332.61
smcfb.02.003,2024-03-13,00:40:00.000,24.403,0.944,89.866,159.457
smcfb.02.003,2024-03-13,00:45:00.000,25.819,0.956,132.173,211.323
smcfb.02.003,2024-03-13,00:50:00.000,39.46,0.988,239.689,170.176
smcfb.02.003,2024-03-13,00:55:00.000,24.864,0.929,97.594,185.646
smcfb.02.003,2024-03-13,01:00:00.000,29.034,0.991,135.646,142.831
smcfb.02.003,2024-03-13,01:05:00.000,33.147,0.882,150.429,78.943
smcfb.02.003,2024-03-13,01:10:00.000,47.981,0.927,310.682,231.174
smcfb.02.003,2024-03-13,01:20:00.000,36.511,0.931,138.53,283.431
smcfb.02.003,2024-03-13,01:25:00.000,41.644,0.885,202.363,333.007
smcfb.02.003,2024-03-13,01:30:00.000,43.063,1.002,338.847,225.981
smcfb.02.003,2024-03-13,01:35:00.000,50.285,0.96,194.822,128.141
smcfb.02.003,2024-03-13,01:40:00.000,23.476,0.973,85.094,70.602
smcfb.02.003,2024-03-13,01:45:00.000,35.11,0.99,212.931,204.149
smcfb.02.003,2024-03-13,01:50:00.000,23.408,0.973,101.046,113.498
smcfb.02.003,2024-03-13,01:55:00.000,37.287,0.942,887.903,6280.892
smcfb.02.003,2024-03-27,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-29,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-30,-1,-1,-1,-1,-1
smcfb.02.003,2024-03-03,00:00:00.000,36.699,0.968,185.756,47.942
smcfb.02.003,2024-03-03,00:05:00.000,27.985,0.96,66.21,145.643
smcfb.02.003,2024-03-03,00:10:00.000,31.386,1.006,129.519,82.716
smcfb.02.003,2024-03-03,00:15:00.000,30.865,1.008,122.0,59.726
smcfb.02.003,2024-03-03,00:20:00.000,23.985,0.972,66.609,112.396
smcfb.02.003,2024-03-03,00:25:00.000,24.556,1.003,83.253,81.665
